market,week_idx,eval_start,eval_start_ts,method,revenue,soc_end,score,pf_score,value_capture,theta,sigma_stat,mu_eff,q,mask_violations
CISO,0,8760,2024-02-20 08:00:00,dp,16234.508000000009,23.75,17541.76385612301,21037.71179490011,0.8338247061819443,0.0213392373317923,38.12729590553744,-14.56966542818813,55.042351836758,0
CISO,1,8928,2024-02-27 08:00:00,dp,10319.32725,23.75,11600.701567373002,15086.761202119009,0.7689325370738702,0.0178091909438545,40.92528905403634,-14.56475543690833,53.95260283675799,0
CISO,2,9096,2024-03-05 08:00:00,dp,15745.723999999998,23.75,16999.93544107163,20578.011264286524,0.826121398357639,0.0205770553244461,37.088759138067935,-13.278507683597692,52.80890278196347,0
CISO,3,9264,2024-03-12 08:00:00,dp,21949.083250000007,23.75,23181.54461502141,28461.07854453339,0.8144998643937184,0.0198136828081345,36.63443106822622,-8.329915405200197,51.89311010616439,0
CISO,4,9432,2024-03-19 08:00:00,dp,19592.51075,23.75,20806.91768662244,24965.014532812504,0.8334430432345665,0.0190078910420589,36.78854536455609,-8.274650845909546,51.13292364726027,0
CISO,5,9600,2024-03-26 08:00:00,dp,18423.270499999995,23.75,19619.215468227736,22311.20762291097,0.8793435030419925,0.0160136671604156,39.13635761995632,-7.691784930378954,50.35557760958904,0
CISO,6,9768,2024-04-02 08:00:00,dp,10708.324750000003,23.75,11887.66928611159,17872.116864329335,0.6651517207700222,0.0123355018643472,43.98377411657335,-4.129297547063473,49.65661204680366,0
CISO,7,9936,2024-04-09 08:00:00,dp,18364.016,23.75,19528.419521619573,23924.711732353026,0.8162447155094282,0.0136895182475585,41.12919465910911,-6.294358488931982,49.027516699771695,0
CISO,8,10104,2024-04-16 08:00:00,dp,25163.096750000008,23.75,26315.801397091906,30179.529347639844,0.8719752085580453,0.0203380766450416,31.20642743500641,-6.6456179276069,48.53493250913242,0
CISO,9,10272,2024-04-23 08:00:00,dp,24377.195,23.75,25516.21480144121,30971.307937571342,0.8238662329945533,0.0177331201203139,30.035291077066688,-7.905652786865829,47.95872848173516,0
CISO,10,10440,2024-04-30 08:00:00,dp,19087.604,18.75,19975.13843702911,24777.48411008276,0.8061810613330423,0.01,45.61322303982488,-7.28069298339466,47.33516997488584,0
CISO,11,10608,2024-05-07 08:00:00,dp,23248.549500000005,0.0,23248.549500000005,26409.67146067924,0.8803043814692753,0.0153363925952293,33.10094027359767,1.642688977275555,47.329734710045656,0
CISO,12,10776,2024-05-14 08:00:00,dp,20676.7535,0.0,20676.7535,27086.72597691781,0.7633537370895204,0.0166807203910544,31.792323726574864,2.2616060102146927,47.51668029908676,0
CISO,13,10944,2024-05-21 08:00:00,dp,26021.957,10.0,26495.729803561648,32605.958131609583,0.8126039325884914,0.0157323924178422,33.129283402763804,-1.4822215228344229,47.377280356164384,0
CISO,14,11112,2024-05-28 08:00:00,dp,18089.08175,18.75,18974.84653859161,24284.38723523973,0.781359906461082,0.0151940385104197,34.10879905353793,-5.458412798013335,47.240788724885846,0
CISO,15,11280,2024-06-04 08:00:00,dp,18138.4345,0.0,18138.4345,23142.924982739725,0.7837572179630647,0.0105425788035964,41.46302924302024,-0.69286901329616,47.26694980821918,0
CISO,16,11448,2024-06-11 08:00:00,dp,18364.96125,0.0,18364.96125,24800.1901930137,0.7405169519697262,0.0109507173916107,40.45237020594996,0.7839170315866469,47.0762715890411,0
CISO,17,11616,2024-06-18 08:00:00,dp,15344.360249999998,0.0,15344.360249999998,19979.723911872145,0.7679966108481725,0.0113956460903895,39.099462836790046,-0.4309063294371549,47.0075101826484,0
CISO,18,11784,2024-06-25 08:00:00,dp,14337.709750000002,22.5,15397.808478655825,18815.344478655825,0.818364420386942,0.0103448560778282,41.329361143240426,4.115246654211274,47.11549905136986,0
CISO,19,11952,2024-07-02 08:00:00,dp,29169.81950000001,23.75,30287.71945316781,38299.33688741439,0.7908157663983136,0.0149255638423008,35.36004580533985,4.46157779543241,47.06947171232876,0
CISO,20,12120,2024-07-09 08:00:00,dp,63008.32475000001,0.0,63008.32475000001,66921.04944336186,0.9415322275142538,0.0185197485648626,34.11667779542986,-8.201864512119187,47.253457490867575,0
CISO,21,12288,2024-07-16 08:00:00,dp,17610.690249999992,2.5,17729.180276849307,22666.75874164384,0.78216654083307,0.083187539524019,36.08134482074652,-3.0104792275187067,47.39601073972603,0
CISO,22,12456,2024-07-23 08:00:00,dp,33098.57299999999,22.5,34154.79806010273,38175.37174041096,0.8946814792623957,0.0722246527350518,39.18137914844479,-8.79372449084574,46.94333600456621,0
CISO,23,12624,2024-07-30 08:00:00,dp,42146.62174999999,0.0,42146.62174999999,46495.51849999999,0.9064663242759622,0.070604235446515,43.61509863916157,-4.06044158828595,46.68450270547945,0
CISO,24,12792,2024-08-06 08:00:00,dp,17633.652500000004,66.25,20718.395355646408,25212.63256804795,0.8217466105424824,0.1285642959049824,35.28109812020519,-2.5095670975675968,46.56215631164383,0
CISO,25,12960,2024-08-13 08:00:00,dp,9952.4165,2.5,10068.007073570208,14633.695912825342,0.6880016595634155,0.1376841391363279,35.665405132311484,-8.940869119476421,46.23622942808219,0
CISO,26,13128,2024-08-20 08:00:00,dp,9373.42025,1.25,9429.475576264267,14597.414762234588,0.6459688739309888,0.2472065929200754,27.436115731471688,-6.710708291439551,44.844261011415526,0
CISO,27,13296,2024-08-27 08:00:00,dp,13492.337250000002,1.25,13547.891529249431,15956.751268210615,0.8490382096912065,0.2377130552340693,27.92258190332917,-7.616750033694351,44.44342339954338,0
CISO,28,13464,2024-09-03 08:00:00,dp,32145.21575,37.5,33800.839026027395,53865.36502308217,0.6275059866677446,0.3233720771552495,24.32849688980015,-4.441648038939651,44.14995402739726,0
CISO,29,13632,2024-09-10 08:00:00,dp,21.020499999999856,85.0,3786.466207123288,13236.65522287671,0.2860591398179802,0.3278983370315828,27.646461203347105,5.04324948413938,44.299361260273976,0
CISO,30,13800,2024-09-17 08:00:00,dp,9119.08225,16.25,9832.533946976311,12480.352991859305,0.7878410132621959,0.3279107533511937,27.6065385064385,-5.813702882688336,43.90471981392694,0
CISO,31,13968,2024-09-24 08:00:00,dp,6910.400999999998,91.25,10907.261918437496,14350.120349751713,0.7600815639588845,0.3272278925434088,27.60907649612728,-2.33207976325487,43.80121554452054,0
CISO,32,14136,2024-10-01 08:00:00,dp,36959.1665,35.0,38492.53209809361,46141.98650000001,0.8342192224015669,0.2244829966152061,32.63271042917607,-0.7313403658399716,43.81044565981735,0
CISO,33,14304,2024-10-08 08:00:00,dp,4085.863749999999,87.5,7928.031872716894,17587.767499999998,0.4507696541199384,0.2948016427768057,29.56320056984192,-0.2272539944538172,43.91049283105024,0
CISO,34,14472,2024-10-15 08:00:00,dp,-1682.41475,100.0,2705.3908011415524,11577.445110228313,0.2336777048289716,0.2716191848872146,24.04886303861464,-7.879815422894409,43.878055511415525,0
CISO,35,14640,2024-10-22 08:00:00,dp,2350.969,50.0,4512.718425742009,7966.862999999995,0.5664360521502644,0.2213764429238949,26.141492455793344,-11.19720805748323,43.234988514840175,0
CISO,36,14808,2024-10-29 08:00:00,dp,4607.4455,25.0,5676.546865896118,9478.0015,0.5989181227599635,0.1830146854414683,25.86343992944618,-8.757584159745445,42.76405463584475,0
